"sv","dtBioImpLen","dtDCLRds","dtFert","dtFHth","dtFSupp","dtHabFrst","dtHabFtwt","dtHabHbwt","dtHabOpen","dtHabShrb","dtManu","dtMetImpLen","dtNID","dtSLRlc","dtSLRup","dtTDNT","dtTDST","dtTriassic","dtUrban","dtWPC"
1,49.32,40.14,69.86,100,274.34,97.94,52.01,26.78,46.75,46.89,121.08,93.22,33,13.64,67.89,26.91,25.3,100,99.84,7
0.9,21.67,14.55,30.17,90.11,111.51,20.99,6.28,4.42,14.64,13.01,31.84,19.84,8,2.54,16.1,13.84,12.71,97.84,48.94,2.66
0.8,15.44,10.6,21.72,77.23,68.73,15.91,3.76,2.53,10.31,8.14,16.03,14.31,5.8,1.01,8.01,12.45,11.68,84.3,29.05,1.79
0.7,12.07,8.26,15.82,64.67,45.95,12.64,2.49,1.57,7.52,5.03,10.03,11.1,4,0.47,4.38,11.66,10.96,78.4,18.4,1.44
0.6,9.53,6.83,12.06,51.5,31.62,10.2,1.61,1.04,5.59,3.23,6.82,8.66,3,0.2,2.5,11.29,10.55,60.55,12.21,1.29
0.5,7.47,5.75,9.07,40.24,21.82,8.14,1.03,0.7,4.05,2.15,4.45,6.75,3,0.08,1.49,10.97,10.27,45.85,8.13,1.19
0.4,5.44,4.57,6.92,31.52,14.48,6.34,0.6,0.44,2.84,1.53,2.82,3.77,2,0.02,0.85,10.69,10.02,31.04,5.25,1.13
0.3,3.39,3.41,4.9,23.61,9.22,4.73,0.32,0.25,1.87,1.03,1.58,1.92,1,0,0.24,10.42,9.77,19.32,3.21,1.07
0.2,0.82,2.18,2.82,16.36,5.32,3.13,0.14,0.14,1.07,0.64,0.76,0.49,1,0,0.01,10.11,9.51,9.94,1.79,1.03
0.1,0.02,0.94,1.35,8.66,2.39,1.5,0.04,0.06,0.45,0.28,0.29,0.04,1,0,0,9.48,9.2,1.86,0.76,1
0,0,0,0.01,0.1,0.01,0,0,0,0,0,0.01,0,1,0,0,6.1,7.9,0.01,0.01,1
